subject,sender,body,label,attack_type
Meeting invite: Weekly team standup,calendar@google.com,"You have been invited to Weekly Team Standup, every Monday at 10am. Organizer: mike@company.com. Join at https://meet.google.com/abc-defg-hij. This is a recurring event. You can accept or decline this invitation in Google Calendar.",0,none
Following up on our call - account verification - Urgent,support@amazon-account-security.com,"Following our phone call, please complete your account verification at http://amazon-secure-verify.net. You will need your account password, credit card number, and billing address. This must be completed within 12 hours to restore your account.",1,credential_harvest
Q3 Sales Report - Team Review (follow-up),sarah.johnson@company.com,"Following up on our previous message. Hi team, Please find the Q3 sales report attached for tomorrow's review meeting. Key highlights: revenue up 12% QoQ, new customer acquisition exceeded targets by 8%. Let me know if you have any questions before the meeting at 2pm. Best, Sarah",0,none
Your Facebook account will be deleted,security@facebook-account-support.com,"Your Facebook account has been reported for violating community guidelines. To appeal this decision and prevent permanent deletion, verify your account at http://facebook-verify.ru/appeal within 24 hours. Provide your login email and password.",1,credential_harvest
IRS: Tax Refund Pending - Claim Now - Urgent,refunds@irs-gov-refunds.com,"The Internal Revenue Service has a tax refund of $3,200 pending for you. To claim your refund, provide your Social Security Number, date of birth, bank account and routing number at http://irs-refund-claim.net. Unclaimed refunds expire after 30 days.",1,credential_harvest
Microsoft 365: Your account will be disabled,admin@microsoft-365-support.net,Your Microsoft 365 account will be disabled in 24 hours due to a security policy update. Login at http://microsoft365-secure.xyz/update to prevent disruption. You will need to re-enter your credentials and update your payment information.,1,it_impersonation
Q3 Sales Report - Team Review,sarah.johnson@company.com,"Hi team, Please find the Q3 sales report attached for tomorrow's review meeting. Key highlights: revenue up 12% QoQ, new customer acquisition exceeded targets by 8%. Let me know if you have any questions before the meeting at 2pm. Best, Sarah",0,none
Slack: 5 new messages in #engineering (follow-up),feedback@slack.com,Following up on our previous message. You have 5 unread messages in #engineering. Recent activity from your team. Open Slack at https://app.slack.com or in your desktop app to catch up. Update your notification preferences at https://slack.com/account/notifications.,0,none
Confidential - Gift cards needed ASAP,director@acme-corp.info,"I need you to purchase 10 Google Play gift cards worth $100 each for a client surprise. Buy them now and send me the codes. Keep this between us - it is a surprise. I will reimburse you. This is urgent. Do not call me, I am in meetings all day.",1,bec
Urgent wire transfer needed - confidential - Urgent,ceo.smith@company-corp.net,"Hi, I need you to process a wire transfer urgently. I am in a board meeting and cannot talk. Amount: $47,500 to Shenzhen Trade Partners. Account: 8827364910. This must be done before 3pm today for a confidential acquisition. Do not discuss with anyone in the office. Confirm when done. Thanks, Robert Smith CEO",1,bec
